Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Spain's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Spain (%)	
"Cyprus"	372827	336629	0.1	-1	26	105	0.05	-1	3118	0.09		
"Libya, State of"	366732	-3060445	0.1	-16	6	89	0.07	12	3475	0.08		
"Panama"	357837	-41720	0.1	-11	49	60	0.2	1	8657	0.12		
"Côte d'Ivoire"	344171	-91753	0.1	5	21	93	0.06	9	6793	0.08		
"Lebanon"	331525	268510	0.1	-17	12	97	0.06	-12	3592	0.06		
"Latvia"	330670	145610	0.1	9	6	77	0.1	7	1575	0.08		
"Guatemala"	319402	-2998	0.1	5	37	68	0.1	7	5828	0.15		
"Costa Rica"	318455	-28674	0.1	4	49	86	0.08	3	6987	0.22		
"Estonia"	316136	156059	0.1	2	22	73	0.1	6	2314	0.06		
"Jordan"	314271	247056	0.1	-8	5	84	0.08	0	5167	0.07		
"New Zealand"	299286	65948	0.1	2	-1	56	0.2	3	11141	0.09		
"Ghana"	291348	-4450	0.1	7	-6	82	0.08	8	8888	0.18		
"Iran, Islamic Republic of"	279649	155660	0.1	-20	19	72	0.1	-18	5612	0.13		
"Uruguay"	268110	129762	0.1	1	24	95	0.06	0	9836	0.11		
"Oman"	244309	159345	0.1	-4	-3	83	0.08	-6	5977	0.08		
"Area Nes"	242342	146030	0.1	-26	-6							
"Bangladesh"	232388	-3372402	0.1	7	37	49	0.3	6	4172	0.15		
"Mauritania"	194390	-149964	0	-1	44	146	0.02	1	5817	0.07		
"Iraq"	192837	-1595853	0	-5	18	62	0.2	3	4107	0.18		
"Equatorial Guinea"	192779	-610521	0	1	1	182	0	2	6008	0.11		
"Bahrain"	171671	-158612	0	3	12	101	0.05	1	6359	0.08		
"Angola"	165194	-574291	0	-10	66	100	0.05	-11	7692	0.06		
"Paraguay"	140734	96815	0	-3	44	92	0.06	0	7311	0.15		
"Kazakhstan"	137140	-1726738	0	-6	0	58	0.2	6	3017	0.25		
"El Salvador"	135303	71501	0	2	37	88	0.07	9	4914	0.15		
"Honduras"	128297	68308	0	-2	73	99	0.05	4	6104	0.16		
"Venezuela, Bolivarian Republic of"	127954	53175	0	1	-42	117	0.03	-11	8121	0.16		
"Cameroon"	126454	-129934	0	0	7	116	0.03	8	7279	0.14		
"Kenya"	123923	56450	0	5	12	80	0.09	2	6680	0.08		
"Belarus"	114916	24560	0	4	9	61	0.2	2	2268	0.23		
"Burkina Faso"	112685	108245	0	12	50	136	0.02	5	6109	0.05		
"Greenland"	112493	102173	0	236	89	180	0	6	3482	0.44		
"Togo"	110639	102999	0	-15	133	153	0.01	10	7318	0.08		
"Congo, Democratic Republic of the"	109143	-226542	0	37	182	111	0.04	13	6479	0.14		
"Bolivia, Plurinational State of"	107940	-61926	0	-15	19	106	0.04	-3	7978	0.11		
"Mali"	98762	96573	0	11	43	141	0.02	9	5008	0.1		
"Sri Lanka"	96987	-74062	0	4	32	85	0.08	-3	4351	0.16		
"Azerbaijan"	94826	-603464	0	8	136	98	0.05	5	3712	0.09		
"Iceland"	93153	-21494	0	10	34	112	0.04	-1	4251	0.05		
"Albania"	88931	-145010	0	-12	23	121	0.03	6	1886	0.13		
"Georgia"	86101	44656	0	-2	29	113	0.04	-2	2513	0.09		
"Mauritius"	83722	276	0	-1	-27	133	0.02	-2	7320	0.08		
"Bosnia and Herzegovina"	83667	30112	0	3	22	94	0.06	3	2228	0.07		
"Macedonia, North"	83298	-53177	0	4	45	103	0.05	8	1348	0.09		
"Bonaire, Sint Eustatius and Saba"	82831	82810	0	291	17121	189	0	20		0.19		
"Cabo Verde"	82604	3035	0	-8	-8	181	0	4	5196	0.21		
"Bahamas"	81480	71665	0	-27	22	115	0.03	-8	6248	0.19		
"Seychelles"	80774	40020	0	-9	24	187	0	-7	6627	0.06		
"Trinidad and Tobago"	75327	-350324	0	28	62	128	0.03	-1	6663	0.26		
"Guinea"	68031	-123877	0	-1	7	135	0.02	7	9140	0.19		
"Mozambique"	64214	-192873	0	8	92	108	0.04	8	6196	0.1		
"Moldova, Republic of"	63339	-4207	0	17	36	118	0.03	8	2317	0.08		
"Uzbekistan"	59219	45548	0	-8	42	74	0.1	16	3412	0.12		
"Benin"	57578	56909	0	2	4	149	0.01	-2	6481	0.07		
"Tanzania, United Republic of"	56742	-64976	0	7	61	102	0.05	7	6633	0.1		
