Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Luxembourg's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Luxembourg (%)	
"Montserrat"	1	-225	0			224	0	-7		0.49		
"Samoa"		-1				197	0	-1	6816	0.13		
"Niue"		-2				223	0	7	11410	0.48		
"Cocos (Keeling) Islands"		-4				225	0	8		0.74		
"Antigua and Barbuda"		-6				174	0	1	6334	0.27		
"Christmas Island"		-6				220	0	3		0.69		
"Saint Vincent and the Grenadines"		-16				196	0	3	6798	0.14		
"British Indian Ocean Territory"		-36				219	0	-9		0.67		
"British Virgin Islands"		-42				156	0.01	8	7242	0.27		
"Belize"		-44				179	0	1	5006	0.18		
"Turks and Caicos Islands"		-46				193	0	-3	3491	0.74		
"Tokelau"		-190				226	0	-33	11566	0.22		
"Greenland"		-432				180	0	6	3482	0.44		
"Korea, Democratic People's Republic of"		-6956				200	0	-49	1470	0.87		
"Luxembourg"		-442120				71	0.1	3	1488	0.14		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Saint Lucia"						171	0	-10	5321	0.23		
"Palestine, State of"						176	0	8	3026	0.1		
"Bhutan"						178	0	15	1733	0.63		
"Equatorial Guinea"						182	0	2	6008	0.11		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Grenada"						191	0	-1	4157	0.2		
"Comoros"						192	0	18	5731	0.22		
"South Sudan"						194	0	12		0.25		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
