Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Netherlands's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Netherlands (%)	
"Gabon"	74027	-176744	0	-5	-14	158	0.01	-2	7114	0.11		
"Congo"	73616	61946	0	2	14	154	0.01	-18	6851	0.07		
"Zambia"	71177	58787	0	7	6	119	0.03	-9	5447	0.14		
"Cabo Verde"	69576	69259	0	14	6	181	0	4	5196	0.21		
"Mongolia"	64797	62724	0	26	48	125	0.03	8	3267	0.22		
"Guyana"	63273	-58117	0	15	30	144	0.02	13	11175	0.21		
"Turkmenistan"	60070	59596	0	-8	65	148	0.02	4	3495	0.15		
"Sierra Leone"	59648	16607	0	4	-13	170	0	10	8820	0.13		
"Trinidad and Tobago"	59408	-208243	0	1	-35	128	0.03	-1	6663	0.26		
"Mauritius"	59095	2404	0	3	11	133	0.02	-2	7320	0.08		
"Armenia"	58125	50514	0	-4	23	131	0.02	6	3323	0.15		
"Sint Maarten (Dutch part)"	58116	57736	0	-4	17	213	0	-7		0.43		
"Liberia"	56106	30978	0	0	43	87	0.07	17	11608	0.19		
"El Salvador"	55499	36214	0	16	16	88	0.07	9	4914	0.15		
"Gambia"	55255	53605	0	0	10	167	0	7	8260	0.14		
"Bolivia, Plurinational State of"	53218	-24348	0	-11	22	106	0.04	-3	7978	0.11		
"Nicaragua"	47754	-5696	0	13	92	104	0.05	4	5888	0.1		
"Rwanda"	47043	37487	0	9	104	159	0.01	17	5437	0.08		
"Montenegro"	44224	24007	0	-4	-24	152	0.01	0	2382	0.08		
"Haiti"	43886	40636	0	-5	16	140	0.02	0	6340	0.18		
"Cambodia"	43652	-354311	0	4	24	66	0.1	16	2651	0.18		
"Syrian Arab Republic"	43605	35234	0	-9	-24	139	0.02	-3	2496	0.27		
"Macao, China"	42427	18900	0	-29	76	81	0.09	15		0.17		
"Palestine, State of"	42163	34279	0	11	35	176	0	8	3026	0.1		
"Brunei Darussalam"	37925	32462	0	-7	26	109	0.04	26	5185	0.11		
"Niger"	37407	37240	0	4	9	162	0	13	5715	0.09		
"Myanmar"	35972	-229680	0	5	-47	79	0.10	-1	2536	0.25		
"Equatorial Guinea"	35971	-176781	0	-1	-21	182	0	2	6008	0.11		
"Afghanistan"	34352	31374	0	-2	-1	147	0.02	-8	2990	0.12		
"Zimbabwe"	34216	-4255	0	8	90	134	0.02	7	3754	0.39		
"Venezuela, Bolivarian Republic of"	33692	-150439	0	-23	15	117	0.03	-11	8121	0.16		
"Madagascar"	32609	-72469	0	-14	29	138	0.02	2	7339	0.08		
"French Polynesia"	31696	24922	0	17	2	165	0	1	13300	0.24		
"Namibia"	31589	-168330	0	7	10	126	0.03	-1	3757	0.37		
"Nepal"	31115	25880	0	1	55	96	0.06	8	1856	0.56		
"Chad"	28071	-124069	0	30	-50	184	0	13	6931	0.16		
"Djibouti"	27401	24751	0	-1	10	130	0.02	5	6387	0.22		
"British Virgin Islands"	27010	26538	0	36	31	156	0.01	8	7242	0.27		
"Guinea-Bissau"	23963	23785	0	1	21	195	0	2	5802	0.16		
"Barbados"	23341	18913	0	7	68	161	0	0	4992	0.21		
"Maldives"	22096	18374	0	6	33	151	0.01	-3	4478	0.08		
"Somalia"	21732	18532	0	19	-14	150	0.01	9	5305	0.16		
"Kyrgyzstan"	21656	21232	0	-5	13	127	0.03	1	2892	0.2		
"Africa not elsewhere specified"	20350	20295	0	-16	-8							
"Malawi"	20125	7685	0	-2	-30	168	0	0	5169	0.15		
"South Sudan"	19392	19392	0	6	54	194	0	12		0.25		
"Central African Republic"	19237	19217	0	12	18	199	0	7	6606	0.08		
"Andorra"	18892	14873	0	1	23	166	0	2	610	0.52		
"Seychelles"	17402	-7037	0	-4	6	187	0	-7	6627	0.06		
"New Caledonia"	16822	16567	0	-3	21	155	0.01	-1	11471	0.2		
"Papua New Guinea"	16114	-448776	0	7	23	143	0.02	-1	4973	0.17		
"Burundi"	13261	13139	0	-5	86	188	0	13	4755	0.14		
"Tajikistan"	12264	12212	0	13	-6	142	0.02	9	2803	0.17		
