Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Mexico's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Mexico (%)	
"Grenada"	296	293	0	-32	-86	191	0	-1	4157	0.2		
"Malta"	296	-61909	0	-26	-80	120	0.03	1	3249	0.08		
"Belarus"	232	-14973	0	-34	-77	61	0.2	2	2268	0.23		
"Benin"	231	230	0	-37	58	149	0.01	-2	6481	0.07		
"Bermuda"	194	193	0	-49	-80	169	0	-3	8006	0.28		
"British Virgin Islands"	192	188	0	-56	-51	156	0.01	8	7242	0.27		
"Senegal"	136	-324	0	-48	-89	110	0.04	4	6632	0.05		
"Gabon"	92	-7825	0	-37	-94	158	0.01	-2	7114	0.11		
"Saint Vincent and the Grenadines"	82	81	0	-43	-87	196	0	3	6798	0.14		
"Kazakhstan"	66	-2071	0	-66	-99	58	0.2	6	3017	0.25		
"Saint Kitts and Nevis"	65	-822	0	-55	-82	201	0	-12	5440	0.41		
"Turks and Caicos Islands"	24	10	0	-61	-94	193	0	-3	3491	0.74		
"Mozambique"	24	-93	0	-67	-97	108	0.04	8	6196	0.1		
"Sri Lanka"	17	-259332	0	-75	-100	85	0.08	-3	4351	0.16		
"Iceland"	4	-19695	0	-75	-100	112	0.04	-1	4251	0.05		
"Macedonia, North"	2	-25907	0	-89	-90	103	0.05	8	1348	0.09		
"Congo, Democratic Republic of the"		-1				111	0.04	13	6479	0.14		
"Gibraltar"		-1				114	0.03	-5	2572	0.09		
"Papua New Guinea"		-1				143	0.02	-1	4973	0.17		
"Vanuatu"		-1				198	0	-2	6248	0.13		
"Nauru"		-1				211	0	18	6014	0.27		
"Northern Mariana Islands"		-1				216	0	-19	3811	0.2		
"Christmas Island"		-1				220	0	3		0.69		
"Niue"		-1				223	0	7	11410	0.48		
"Bhutan"		-2				178	0	15	1733	0.63		
"Turkmenistan"		-3				148	0.02	4	3495	0.15		
"Cabo Verde"		-3				181	0	4	5196	0.21		
"Malawi"		-4				168	0	0	5169	0.15		
"Central African Republic"		-5				199	0	7	6606	0.08		
"Somalia"		-6				150	0.01	9	5305	0.16		
"Comoros"		-6				192	0	18	5731	0.22		
"Brunei Darussalam"		-8				109	0.04	26	5185	0.11		
"Chad"		-8				184	0	13	6931	0.16		
"Kyrgyzstan"		-10				127	0.03	1	2892	0.2		
"Niger"		-10				162	0	13	5715	0.09		
"Burundi"		-13				188	0	13	4755	0.14		
"Tokelau"		-14				226	0	-33	11566	0.22		
"Maldives"		-15				151	0.01	-3	4478	0.08		
"Palau"		-16				209	0	1	6232	0.16		
"Western Sahara"		-16				221	0	-16	12469	0.9		
"Saint Helena"		-20				217	0	6	7699	0.31		
"Mongolia"		-23				125	0.03	8	3267	0.22		
"Gambia"		-24				167	0	7	8260	0.14		
"Syrian Arab Republic"		-29				139	0.02	-3	2496	0.27		
"Montenegro"		-29				152	0.01	0	2382	0.08		
"Tajikistan"		-31				142	0.02	9	2803	0.17		
"New Caledonia"		-52				155	0.01	-1	11471	0.2		
"Mauritania"		-54				146	0.02	1	5817	0.07		
"Seychelles"		-54				187	0	-7	6627	0.06		
"Micronesia, Federated States of"		-62				208	0	-8	7109	0.19		
"Anguilla"		-71				212	0	-5	4397	0.58		
"Samoa"		-116				197	0	-1	6816	0.13		
"Congo"		-135				154	0.01	-18	6851	0.07		
"Zimbabwe"		-160				134	0.02	7	3754	0.39		
"Andorra"		-171				166	0	2	610	0.52		
"Tanzania, United Republic of"		-194				102	0.05	7	6633	0.1		
"Armenia"		-240				131	0.02	6	3323	0.15		
"Iran, Islamic Republic of"		-337				72	0.1	-18	5612	0.13		
"Nepal"		-409				96	0.06	8	1856	0.56		
"Montserrat"		-428				224	0	-7		0.49		
"Sierra Leone"		-696				170	0	10	8820	0.13		
"Ethiopia"		-1500				90	0.07	1	6305	0.11		
"Afghanistan"		-1565				147	0.02	-8	2990	0.12		
"Moldova, Republic of"		-1767				118	0.03	8	2317	0.08		
"Mali"		-2108				141	0.02	9	5008	0.1		
"Mauritius"		-2590				133	0.02	-2	7320	0.08		
"Fiji"		-3644				157	0.01	-7	7384	0.12		
"Madagascar"		-3664				138	0.02	2	7339	0.08		
"Lesotho"		-5480				164	0	-2	1590	0.78		
"Albania"		-6411				121	0.03	6	1886	0.13		
"Libya, State of"		-7876				89	0.07	12	3475	0.08		
"Eswatini"		-8624				160	0	1	1597	0.74		
"Bosnia and Herzegovina"		-17542				94	0.06	3	2228	0.07		
"Namibia"		-17706				126	0.03	-1	3757	0.37		
"Myanmar"		-66602				79	0.10	-1	2536	0.25		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Liberia"						87	0.07	17	11608	0.19		
"Marshall Islands"						91	0.06	-1	7455	0.18		
"Yemen"						107	0.04	11	5706	0.11		
"Zambia"						119	0.03	-9	5447	0.14		
"Sudan"						122	0.03	-2		0.13		
