Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Singapore's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Singapore (%)	
"Equatorial Guinea"	3277	-146547	0	-27	-18	182	0	2	6008	0.11		
"Georgia"	3114	-1348	0	-17	-89	113	0.04	-2	2513	0.09		
"Suriname"	3075	2963	0	-2	31	173	0	1	9050	0.14		
"Tonga"	3016	2976	0	-1	34	202	0	4	5771	0.16		
"Mauritania"	2638	2594	0	-23	4	146	0.02	1	5817	0.07		
"Kyrgyzstan"	2256	642	0	-9	146	127	0.03	1	2892	0.2		
"Syrian Arab Republic"	2127	2124	0	-30	-61	139	0.02	-3	2496	0.27		
"Zimbabwe"	2024	-6580	0	-31	33	134	0.02	7	3754	0.39		
"Montenegro"	1942	1737	0	-9	4	152	0.01	0	2382	0.08		
"Turkmenistan"	1752	-20548	0	-52	42	148	0.02	4	3495	0.15		
"Gambia"	1742	1693	0	-8	-14	167	0	7	8260	0.14		
"Albania"	1670	306	0	20	-2	121	0.03	6	1886	0.13		
"South Sudan"	1504	-84217	0	270	-5	194	0	12		0.25		
"Sao Tome and Principe"	1502	-3763	0	130	14	210	0	-3	6155	0.31		
"Macedonia, North"	1415	-312	0	14	27	103	0.05	8	1348	0.09		
"Niger"	1407	1098	0	33	-60	162	0	13	5715	0.09		
"Armenia"	1370	635	0	36	47	131	0.02	6	3323	0.15		
"Dominica"	1121	1000	0	-19	-83	185	0	8	4908	0.65		
"Belarus"	1121	-16380	0	2	-17	61	0.2	2	2268	0.23		
"Niue"	1049	1002	0	16	-32	223	0	7	11410	0.48		
"Chad"	897	764	0	9	40	184	0	13	6931	0.16		
"Saint Lucia"	800	780	0	25	-12	171	0	-10	5321	0.23		
"Cabo Verde"	724	688	0	10	21	181	0	4	5196	0.21		
"Central African Republic"	666	596	0	106	-50	199	0	7	6606	0.08		
"Malawi"	605	-3104	0	-1	-39	168	0	0	5169	0.15		
"Iceland"	588	-3614	0	-6	87	112	0.04	-1	4251	0.05		
"Bosnia and Herzegovina"	521	-2555	0	-17	-17	94	0.06	3	2228	0.07		
