Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Turkey's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Turkey (%)	
"Fiji"	4231	4109	0	36	-27	157	0.01	-7	7384	0.12		
"British Virgin Islands"	4212	4212	0	-32	-69	156	0.01	8	7242	0.27		
"United States Minor Outlying Islands"	3987	3915	0	7	65	177	0	0		0.21		
"Saint Kitts and Nevis"	3781	3772	0	0	48	201	0	-12	5440	0.41		
"Namibia"	3769	3617	0	-51	-11	126	0.03	-1	3757	0.37		
"Central African Republic"	3709	1521	0	17	24	199	0	7	6606	0.08		
"Botswana"	3205	3006	0	25	-33	124	0.03	2	2968	0.52		
"Papua New Guinea"	2942	2707	0	-13	-40	143	0.02	-1	4973	0.17		
"Burundi"	2353	2282	0	5	-19	188	0	13	4755	0.14		
"Armenia"	2342	-1342	0	381	169	131	0.02	6	3323	0.15		
"Saint Lucia"	2274	2274	0	0	-1	171	0	-10	5321	0.23		
"Dominica"	2265	2260	0	36	40	185	0	8	4908	0.65		
"Grenada"	2212	2209	0	8	90	191	0	-1	4157	0.2		
"Bermuda"	1395	1377	0	0	216	169	0	-3	8006	0.28		
"Aruba"	1346	1346	0	6	-3	175	0	-3	4917	0.3		
"Tuvalu"	1217	1133	0	22	336	204	0	17	6386	0.21		
"Lao People's Democratic Republic"	1189	-3841	0	-16	-38	129	0.02	-1	2572	0.28		
"Turks and Caicos Islands"	1126	1126	0	73	11	193	0	-3	3491	0.74		
"Samoa"	961	961	0	4	-1	197	0	-1	6816	0.13		
"Timor-Leste"	814	732	0	115	71	183	0	12	3988	0.22		
"Saint Helena"	756	756	0		-85	217	0	6	7699	0.31		
"Eswatini"	646	633	0	-20	47	160	0	1	1597	0.74		
"Faroe Islands"	625	-323	0	20	-17	172	0	7	1404	0.27		
"Andorra"	544	502	0	8	79	166	0	2	610	0.52		
"French Southern and Antarctic Territories"	435	433	0	13	-6	214	0	14		0.12		
"Kiribati"	351	351	0	45	111	205	0	10	5936	0.13		
"Lesotho"	276	102	0	-41	-32	164	0	-2	1590	0.78		
"British Indian Ocean Territory"	256	256	0	-7	257	219	0	-9		0.67		
"Tonga"	220	220	0	2	-13	202	0	4	5771	0.16		
"Anguilla"	167	167	0	4	-34	212	0	-5	4397	0.58		
